1,16682734,4173,54675776,,,positive,16682734;4173;54675776
2,2435,33624,,,,positive,2435;33624
3,9782,5288783,,,,positive,9782;5288783
4,9782,2812,,,,positive,9782;2812
5,5282054,6047,,,,positive,5282054;6047
6,71853,772,,,,positive,71853;772
7,6834,5360696,7028,,,positive,6834;5360696;7028
8,5281004,3083544,,,,positive,5281004;3083544
9,64139,464205,,,,positive,64139;464205
10,64139,60877,,,,positive,64139;60877
11,13804,4497,,,,positive,13804;4497
12,387447,36462,,,,positive,387447;36462
13,3062316,71301229,,,,positive,3062316;71301229
14,2541,5362129,,,,positive,2541;5362129
15,148124,60838,,,,positive,148124;60838
16,92727,441243,,,,positive,92727;441243
17,2788,445580,71311842,,,positive,2788;445580;71311842
18,16129629,5381226,,,,positive,16129629;5381226
19,60750,54679224,2723920,5386,,positive,60750;54679224;2723920;5386
20,443289,5388962,,,,positive,443289;5388962
21,2767,54679224,2723920,5386,,positive,2767;54679224;2723920;5386
22,6249,16129629,,,,positive,6249;16129629
23,24801580,176870,,,,positive,24801580;176870
24,3467,14969,,,,positive,3467;14969
25,387447,6253,5743,,,positive,387447;6253;5743
26,36314,6918506,,,,positive,36314;6918506
27,36314,108150,,,,positive,36314;108150
28,643668,36314,,,,positive,643668;36314
29,54679224,60838,2723920,5386,,positive,54679224;60838;2723920;5386
30,54679224,5476,2723920,5386,,positive,54679224;5476;2723920;5386
31,31703,54679224,2723920,5386,,positive,31703;54679224;2723920;5386
32,5280965,166548,,,,positive,5280965;166548
33,54697224,36314,2723920,5386,,positive,54697224;36314;2723920;5386
34,68827,969516,,,,positive,68827;969516
35,3385,400169,,,,positive,3385;400169
36,9887054,400169,,,,positive,9887054;400169
37,84093,60750,,,,positive,84093;60750
38,40692,6099,,,,positive,40692;6099
39,5994,28456791,,,,positive,5994;28456791
40,444795,444732,,,,positive,444795;444732
41,441130,36294,,,,positive,441130;36294
42,4943,5206,,,,positive,4943;5206
43,84093,28459212,,,,positive,84093;28459212
44,6249,104838,,,,positive,6249;104838
45,104895,5311068,,,,positive,104895;5311068
46,104895,5288826,,,,positive,104895;5288826
47,3019,11963622,,,,positive,3019;11963622
48,3019,44134671,,,,positive,3019;44134671
49,92727,5381226,392622,,,positive,92727;5381226;392622
50,441300,28469364,37542,,,positive,441300;28469364;37542
51,28469364,37542,,,,positive,28469364;37542
52,28469364,37542,,,,positive,28469364;37542
53,5381226,392622,441243,,,positive,5381226;392622;441243
54,148195,36314,,,,positive,148195;36314
55,1775,3121,,,,positive,1775;3121
56,441300,64039,3767,1046,5381226,positive,441300;64039;3767;1046;5381226
57,36314,6675804,,,,positive,36314;6675804
58,3291,3121,,,,positive,3291;3121
59,14052,3767,1046,37542,,positive,14052;3767;1046;37542
60,5288674,518740,,,,positive,5288674;518740
61,31703,5746,,,,positive,31703;5746
62,60825,4463,5381226,18283,,positive,60825;4463;5381226;18283
63,5459174,6253,,,,positive,5459174;6253
64,2803,5311068,,,,positive,2803;5311068
65,11228183,84093,,,,positive,11228183;84093
66,11228183,36462,,,,positive,11228183;36462
67,37542,64139,60825,37542,,positive,37542;64139;60825;37542
68,36314,444732,,,,positive,36314;444732
69,667550,33741,,,,positive,667550;33741
70,50599,3767,60825,37542,392622,positive,50599;3767;60825;37542;392622
71,5311054,104838,,,,positive,5311054;104838
72,387447,3001322,,,,positive,387447;3001322
73,2662,3220,,,,positive,2662;3220
74,5291,5311,,,,positive,5291;5311
75,9571107,5329,5578,,,positive,9571107;5329;5578
76,41867,3001322,,,,positive,41867;3001322
77,38904,77999,,,,positive,38904;77999
78,31703,3001322,,,,positive,31703;3001322
79,148124,6256,,,,positive,148124;6256
80,3001322,5311497,,,,positive,3001322;5311497
81,3690,23662354,,,,positive,3690;23662354
82,2907,3001322,,,,positive,2907;3001322
83,517055,23690424,,,,positive,517055;23690424
84,5311221,33624,,,,positive,5311221;33624
85,38904,3001322,,,,positive,38904;3001322
86,5329,5578,,,,positive,5329;5578
87,68844,33624,,,,positive,68844;33624
88,3025944,5394,,,,positive,3025944;5394
89,4993,17134,,,,positive,4993;17134
90,68827,8530,,,,positive,68827;8530
91,60838,9887054,,,,positive,60838;9887054
92,9829523,5284616,,,,positive,9829523;5284616
93,84093,108150,,,,positive,84093;108150
94,2905,6041,,,,positive,2905;6041
95,518740,6505803,,,,positive,518740;6505803
96,5291,5284616,,,,positive,5291;5284616
97,38904,85668777,36314,,,positive,38904;85668777;36314
98,83895,60700,,,,positive,83895;60700
99,60953,148124,,,,positive,60953;148124
100,3385,6006,126941,,,positive,3385;6006;126941
101,1983,3033,,,,positive,1983;3033
102,441130,3121,,,,positive,441130;3121
103,83895,2907,,,,positive,83895;2907
104,5360696,6014,,,,positive,5360696;6014
105,3033,5282381,,,,positive,3033;5282381
106,16960,7028,,,,positive,16960;7028
107,5360696,3516,,,,positive,5360696;3516
108,6253,6505803,,,,positive,6253;6505803
109,28475384,126941,,,,positive,28475384;126941
110,447043,104838,,,,positive,447043;104838
111,5288209,5222465,,,,positive,5288209;5222465
112,5280965,467825,,,,positive,5280965;467825
113,2160,4748,,,,positive,2160;4748
114,2758,35370,,,,positive,2758;35370
115,9433,2153,,,,positive,9433;2153
116,33613,5280980,,,,positive,33613;5280980
117,31703,3883,,,,positive,31703;3883
118,36613,84029,3883,,,positive,36613;84029;3883
119,2764,5379,,,,positive,2764;5379
120,27447,6032,,,,positive,27447;6032
121,36462,6505803,,,,positive,36462;6505803
122,24801580,36314,,,,positive,24801580;36314
123,3702,107807,,,,positive,3702;107807
124,123631,60838,,,,positive,123631;60838
125,3348,4911,,,,positive,3348;4911
126,119182,6253,,,,positive,119182;6253
127,176870,446556,,,,positive,176870;446556
128,3446,5288826,,,,positive,3446;5288826
129,68827,6099,,,,positive,68827;6099
130,85668777,3385,,,,positive,85668777;3385
131,2165,65664,,,,positive,2165;65664
132,4829,6918537,,,,positive,4829;6918537
133,2162,107807,,,,positive,2162;107807
134,3108,5755,,,,positive,3108;5755
135,6234,72277,,,,positive,6234;72277
136,5743,216326,,,,positive,5743;216326
137,5388962,4507,,,,positive,5388962;4507
138,2767,151897,,,,positive,2767;151897
139,68911,6437380,,,,positive,68911;6437380
140,2162,65999,,,,positive,2162;65999
141,3957,5281040,,,,positive,3957;5281040
142,5388962,65866,,,,positive,5388962;65866
143,387447,5311,,,,positive,387447;5311
144,387447,148195,,,,positive,387447;148195
145,2733526,3001322,,,,positive,2733526;3001322
146,6918454,5284616,,,,positive,6918454;5284616
147,33613,3423265,,,,positive,33613;3423265
148,2200,4761,,,,positive,2200;4761
149,2244,3108,,,,positive,2244;3108
150,60823,6178111,,,,positive,60823;6178111
151,174174,13505,,,,positive,174174;13505
152,174174,5359226,,,,positive,174174;5359226
153,10909430,5754,8378,5702105,,positive,10909430;5754;8378;5702105
154,31703,108150,,,,positive,31703;108150
155,24801580,38904,36314,,,positive,24801580;38904;36314
156,446156,3463,,,,positive,446156;3463
157,2907,31703,5865,24801580,5978,positive,2907;31703;5865;24801580;5978
158,3385,5282192,,,,positive,3385;5282192
159,392622,60934,,,,positive,392622;60934
160,25244225,4457968,,,,positive,25244225;4457968
161,7187,12560,,,,positive,7187;12560
162,5284373,446157,,,,positive,5284373;446157
163,7187,29029,,,,positive,7187;29029
164,3454,28415677,44559641,,,positive,3454;28415677;44559641
165,10909430,5702105,,,,positive,10909430;5702105
166,2725,10836,,,,positive,2725;10836
167,10909430,8378,5702105,,,positive,10909430;8378;5702105
168,5625,4463,35370,,,positive,5625;4463;35370
169,36314,17548438,,,,positive,36314;17548438
170,123631,4713,,,,positive,123631;4713
171,5702105,5329,5578,,,positive,5702105;5329;5578
172,3062316,9829523,,,,positive,3062316;9829523
173,60825,464205,,,,positive,60825;464205
174,84093,3001322,,,,positive,84093;3001322
175,3081884,54675783,,,,positive,3081884;54675783
176,4189,5702105,,,,positive,4189;5702105
177,5291,22737247,,,,positive,5291;22737247
178,5280961,216239,,,,positive,5280961;216239
179,9867642,938,,,,positive,9867642;938
180,536099,68911,4891,,,positive,536099;68911;4891
181,123631,9548828,,,,positive,123631;9548828
182,60953,71301229,,,,positive,60953;71301229
183,65664,4891,3086564,,,positive,65664;4891;3086564
184,10202471,36314,,,,positive,10202471;36314
185,444,5360515,,,,positive,444;5360515
186,3476,4091,77999,,,positive,3476;4091;77999
187,38904,216239,,,,positive,38904;216239
188,2907,36314,,,,positive,2907;36314
189,24801580,5329102,,,,positive,24801580;5329102
190,21700,3083544,,,,positive,21700;3083544
191,447043,5481173,,,,positive,447043;5481173
192,5311027,33624,,,,positive,5311027;33624
193,6505803,3006531,,,,positive,6505803;3006531
194,11228183,5743,,,,positive,11228183;5743
195,3446,60648,,,,positive,3446;60648
196,5493444,3749,,,,positive,5493444;3749
197,104762,5281078,,,,positive,104762;5281078
198,3878,5284627,,,,positive,3878;5284627
199,216305,5362129,,,,positive,216305;5362129
200,2554,5284627,,,,positive,2554;5284627
201,10297043,6442177,,,,positive,10297043;6442177
202,5284627,3121,,,,positive,5284627;3121
203,3100,2153,,,,positive,3100;2153
204,34312,5284627,,,,positive,34312;5284627
205,5284583,5284627,,,,positive,5284583;5284627
206,451668,5352062,,,,positive,451668;5352062
207,9864378,123631,,,,positive,9864378;123631
208,3385,11730503,,,,positive,3385;11730503
209,2554,3878,,,,positive,2554;3878
210,3000226,5362129,,,,positive,3000226;5362129
211,11602828,14969,,,,positive,11602828;14969
212,159324,68740,,,,positive,159324;68740
213,45588096,4091,,,,positive,45588096;4091
214,441300,148192,60825,392622,,positive,441300;148192;60825;392622
215,28481462,5743,,,,positive,28481462;5743
216,50599,92727,4463,392622,35370,positive,50599;92727;4463;392622;35370
217,3062316,148124,5865,,,positive,3062316;148124;5865
218,24801580,60953,2907,148124,31703,positive,24801580;60953;2907;148124;31703
219,444036,5281040,5152,,,positive,444036;5281040;5152
220,446541,5865,445643,,,positive,446541;5865;445643
221,5284373,5281078,5865,,,positive,5284373;5281078;5865
222,38904,85668777,2767,3385,,positive,38904;85668777;2767;3385
223,2405,65999,,,,positive,2405;65999
224,24801580,3385,6006,71301229,,positive,24801580;3385;6006;71301229
225,2907,657237,74890578,24801580,,positive,2907;657237;74890578;24801580
226,216457,5284631,,,,positive,216457;5284631
227,68844,5311221,,,,positive,68844;5311221
228,2478,657237,460612,,,positive,2478;657237;460612
229,2474,5816,3345,,,positive,2474;5816;3345
230,2907,657237,24801580,,,positive,2907;657237;24801580
231,518740,444795,,,,positive,518740;444795
232,216457,129211,,,,positive,216457;129211
233,60825,4463,35370,,,positive,60825;4463;35370
234,5362124,3639,,,,positive,5362124;3639
235,5493444,3639,,,,positive,5493444;3639
236,2162,60823,,,,positive,2162;60823
237,55891,3639,,,,positive,55891;3639
238,3516,7028,,,,positive,3516;7028
239,10429215,5284569,,,,positive,10429215;5284569
240,2162,5362124,,,,positive,2162;5362124
241,2162,130881,,,,positive,2162;130881
242,16231,3639,,,,positive,16231;3639
243,2315,39147,,,,positive,2315;39147
244,2767,84093,,,,positive,2767;84093
245,66414,31703,,,,positive,66414;31703
246,66414,84093,,,,positive,66414;84093
247,66414,36314,,,,positive,66414;36314
248,2082,5755,,,,positive,2082;5755
249,6442177,445643,,,,positive,6442177;445643
250,3885,3767,,,,positive,3885;3767
251,3902,6230,,,,positive,3902;6230
252,36314,3005573,,,,positive,36314;3005573
253,31703,68740,,,,positive,31703;68740
254,3639,5362119,,,,positive,3639;5362119
255,3639,3961,,,,positive,3639;3961
256,3639,38853,,,,positive,3639;38853
